region,product type,product name,producer name,regulator number,application method,label minimum rate,label maximum rate,label suggested rate,rate UOM,number of AI,AI1,AI1 eiq,AI1 group,AI1_concentration_%,AI2,AI2 eiq,AI2 group,AI2_concentration_%,AI3,AI3 eiq,AI3 group,AI3_concentration_%,AI4,AI4 eiq,AI4 group,AI4_concentration_%,eiq total,min days between applications,REI (hours),PHI (days)
CA,Field Herbicide,MAVERICK III,Corteva Agrosciences Canada Company,28977,Ground,0.56,9.0,,l / ha,1,Glyphosate,41.33333333,,14.4,,,,,,,,,,,,,,,,
CA,Field Herbicide,VANTAGE MAX,Corteva Agrosciences Canada Company,30516,Ground,0.56,9.0,,l / ha,1,Glyphosate,41.33333333,,10.9,,,,,,,,,,,,,,,,
CA,Field Herbicide,VANTAGE PLUS MAX,Corteva Agrosciences Canada Company,27615,Ground,0.56,9.0,,l / ha,1,Glyphosate,41.33333333,,12.8,,,,,,,,,,,,,,,,
CA,Field Herbicide,VANTAGE PLUS MAX II,Corteva Agrosciences Canada Company,28840,Ground,0.56,9.0,,l / ha,1,Glyphosate,41.33333333,,10.0,,,,,,,,,,,,,,,,
CA,Field Herbicide,VP480 HERBICIDE,Corteva Agrosciences Canada Company,28840,Ground,0.56,9.0,,l / ha,1,Glyphosate,41.33333333,,5.8,,,,,,,,,,,,,,,,
USA,Field Herbicide,ENVY SIX MAX,INNVICTIS CROP CARE LLC,89167-47-89391,Foliar,11.0,32.0,,fl oz/acre,1,Glyphosate,41.33333333,,4.5,,,,,,,,,,,,,,,,
USA,Field Herbicide,PAVILION 3.3 EC HERBICIDE,"INNVICTIS CROP CARE, LLC",89167-29-89391,Chemigation,1.8,3.6,,pt / ac,1,Glyphosate,41.33333333,,10.0,,,,,,,,,,,,,,,,
USA,Field Herbicide,PAVILION 3.3 EC HERBICIDE,"INNVICTIS CROP CARE, LLC",89167-29-89391,Foliar,1.8,3.6,,pt / ac,1,Glyphosate,41.33333333,,12.7,,,,,,,,,,,,,,,,
USA,Field Herbicide,PAVILION 3.3 EC HERBICIDE,"INNVICTIS CROP CARE, LLC",89167-29-89391,Ground,1.8,3.6,,pt / ac,1,Glyphosate,41.33333333,,2.8,,,,,,,,,,,,,,,,
USA,Field Herbicide,ENVY,"INNVICTIS® CROP CARE, LLC",89168-17-89391,Ground,16.0,48.0,339.2,fl oz/acre,1,Glyphosate,41.33333333,,11.8,,,,,,,,,,,,,,,,
USA,Field Herbicide,ENVY,"INNVICTIS® CROP CARE, LLC",89168-17-89391,Ground,16.0,48.0,339.2,fl oz/acre,1,Glyphosate,41.33333333,,14.1,,,,,,,,,,,,,,,,
CA,Field Herbicide,CO-OP VECTOR 540,Interprovincial Cooperative Limited,31598,Ground,0.5,8.0,,l / ha,1,Glyphosate,41.33333333,,9.2,,,,,,,,,,,,,,,,
CA,Field Herbicide,FACTOR 540 (IPCO),Interprovincial Cooperative Limited,27988,Ground,0.5,8.0,,l / ha,1,Glyphosate,41.33333333,,5.2,,,,,,,,,,,,,,,,
CA,Field Herbicide,MAD DOG K PlUS,Loveland Products Canada Inc.,32457,Ground,0.5,8.0,,l / ha,1,Glyphosate,41.33333333,,4.0,,,,,,,,,,,,,,,,
CA,Field Herbicide,MAD DOG PLUS,LOVELAND PRODUCTS CANADA INC.,30076,Ground,0.75,3.5,3.5,l / ha,1,Glyphosate,41.33333333,,7.9,,,,,,,,,,,,,,,,
CA,Field Herbicide,MAD DOG PLUS,LOVELAND PRODUCTS CANADA INC.,30076,Ground,0.75,3.5,3.5,l / ha,1,Glyphosate,41.33333333,,2.7,,,,,,,,,,,,,,,,
USA,Field Herbicide,MAD DOG,Loveland Products Inc.,34704-889,Ground,1.0,5.0,8.0,qt / ac,1,Glyphosate,41.33333333,,6.9,,,,,,,,,,,,,,,,
USA,Field Herbicide,MAD DOG PLUS,Loveland Products Inc.,34704-890,Ground,0.5,5.0,8.0,qt / ac,1,Glyphosate,41.33333333,,4.3,,,,,,,,,,,,,,,,
USA,Field Herbicide,MAKAZE HERBICIDE,Loveland Products Inc.,34704-890,Ground,0.5,5.0,8.0,qt / ac,1,Glyphosate,41.33333333,,1.5,,,,,,,,,,,,,,,,
USA,Field Herbicide,MIRAGE HERBICIDE,Loveland Products Inc.,524-445-34704,Ground,0.5,5.0,8.0,qt / ac,1,Glyphosate,41.33333333,,11.7,,,,,,,,,,,,,,,,
USA,Field Herbicide,MAD DOG 5.4,"LOVELAND PRODUCTS, INC.",34704-929,Foliar,0.75,36.0,36.0,fl oz/acre,1,Glyphosate,41.33333333,,10.3,,,,,,,,,,,,,,,,
USA,Field Herbicide,MAD DOG 5.4,"LOVELAND PRODUCTS, INC.",34704-929,Ground,0.75,36.0,36.0,fl oz/acre,1,Glyphosate,41.33333333,,1.8,,,,,,,,,,,,,,,,
USA,Field Herbicide,MAD DOG 5.4,"LOVELAND PRODUCTS, INC.",34704-929,Ground,0.75,36.0,36.0,fl oz/acre,1,Glyphosate,41.33333333,,9.2,,,,,,,,,,,,,,,,
USA,Field Herbicide,GLYPHOGAN HERBICIDE,"Makhteshim-Agan of North America, Inc.",66222-105,Ground,0.5,5.0,,qt / ac,1,Glyphosate,41.33333333,,13.4,,,,,,,,,,,,,,,,
CA,Field Herbicide,WISE UP,Mey Canada Corporation,29126,Ground,0.75,12.0,,l / ha,1,Glyphosate,41.33333333,,12.0,,,,,,,,,,,,,,,,
CA,Field Herbicide,CREDIT (NUFARM),Nufarm Agriculture Inc.,25866,Ground,0.75,12.0,,l / ha,1,Glyphosate,41.33333333,,9.1,,,,,,,,,,,,,,,,
CA,Field Herbicide,CREDIT LV HERBICIDE,Nufarm Agriculture Inc.,33849,Ground,0.5,2.33,,l / ha,1,Glyphosate,41.33333333,,2.9,,,,,,,,,,,,,,,,
USA,Field Herbicide,CREDIT 41 EXTRA HERBICIDE,Nufarm Americas Inc.,71368-20,Ground,0.5,5.0,8.0,qt / ac,1,Glyphosate,41.33333333,,9.6,,,,,,,,,,,,,,,,
USA,Field Herbicide,CREDIT SYSTEMIC EXTRA HERBICIDE,Nufarm Americas Inc.,71368-20,Ground,0.5,5.0,8.0,qt / ac,1,Glyphosate,41.33333333,,5.0,,,,,,,,,,,,,,,,
USA,Field Herbicide,Credit Xtreme Herbicide,"NUFARM, INC.",71368-81,Ground,0.4,3.3,5.3,qt / ac,1,Glyphosate,41.33333333,,8.1,,,,,,,,,,,,,,,,
USA,Field Herbicide,Credit Xtreme Herbicide,"NUFARM, INC.",71368-81,Ground,0.4,3.3,5.3,qt / ac,1,Glyphosate,41.33333333,,10.0,,,,,,,,,,,,,,,,
USA,Field Herbicide,Credit Xtreme Herbicide,"NUFARM, INC.",71368-81,Ground,0.4,3.3,5.3,qt / ac,1,Glyphosate,41.33333333,,2.0,,,,,,,,,,,,,,,,
CA,Field Herbicide,SHARDA GLYPHOSATE 360,Sharda Cropchem Limited,31493,Ground,0.75,12.0,,l / ha,1,Glyphosate,41.33333333,,7.7,,,,,,,,,,,,,,,,
CA,Field Herbicide,TOUCHDOWN TOTAL,"Syngenta Canada, Inc.",28072,Ground,0.5,8.6,,l / ha,1,Glyphosate,41.33333333,,10.5,,,,,,,,,,,,,,,,
USA,Field Herbicide,TRAXION HERBICIDE,Syngenta Crop Protection,100-1169,Ground,0.4,3.6,,qt / ac,1,Glyphosate,41.33333333,,10.9,,,,,,,,,,,,,,,,
USA,Field Herbicide,BUCCANEER GLYPHOSATE HERBICIDE,"TENKOZ, Inc.",55467-10,Ground,16.0,5.0,,fl oz/acre,1,Glyphosate,41.33333333,,8.4,,,,,,,,,,,,,,,,
USA,Field Herbicide,BUCCANEER PLUS GLYPHOSATE HERBICIDE,"TENKOZ, Inc.",55467-9,Ground,0.5,5.0,8.0,qt / ac,1,Glyphosate,41.33333333,,7.5,,,,,,,,,,,,,,,,
CA,Field Herbicide,WEED MASTER GLYPHOSATE 41,Teragro Inc,29022,Ground,0.75,12.0,,l / ha,1,Glyphosate,41.33333333,,13.0,,,,,,,,,,,,,,,,
CA,Field Herbicide,GUARDSMAN GLYPHOSATE,Univar Canada Ltd,32228,Ground,0.5,2.33,,l / ha,1,Glyphosate,41.33333333,,4.0,,,,,,,,,,,,,,,,
USA,Field Herbicide,CORNERSTONE PLUS 5,"Winfield Solutions, LLC",524-454-1381,Ground,0.5,5.0,8.0,qt / ac,1,Glyphosate,41.33333333,,4.1,,,,,,,,,,,,,,,,
USA,Field Herbicide,RASCAL PLUS,"Winfield Solutions, LLC",1381-192,Ground,0.5,5.0,8.0,qt / ac,1,Glyphosate,41.33333333,,14.0,,,,,,,,,,,,,,,,
CA,Field Herbicide,STONEWALL 540,"Winfield United Canda, ULC",33379,Ground,0.5,8.0,,l / ha,1,Glyphosate,41.33333333,,7.6,,,,,,,,,,,,,,,,
USA,Field Herbicide,ROUNDUP SOLUGRAN,,524-502,Ground,,,,,1,Glyphosate,41.33333333,,11.9,,,,,,,,,,,,,,,,
USA,Field Herbicide,ROUNDUP ULTRAMAX,,524-512,Ground,,,,,1,Glyphosate,41.33333333,,9.8,,,,,,,,,,,,,,,,
CA,Field Herbicide,SMOKE 540,,33697,Ground,,,,,1,Glyphosate,41.33333333,,7.5,,,,,,,,,,,,,,,,
CA,Field Herbicide,SMOKE 540,,33697,Ground,,,,,1,Glyphosate,41.33333333,,13.7,,,,,,,,,,,,,,,,
USA,Nematicide,EMPLOY,"Plant Health Care, Inc.",71771-3,Ground,1.0,9.0,,oz / ac,1,Harpin protein,,,4.1,,,,,,,,,,,,,,,,
USA,Field Insecticide,ONAGER EW MITICIDE,Gowan Company,10163-337,Foliar,12.0,24.0,24.0,fl oz/acre,1,Hexythiazox,54.0,,2.6,,,,,,,,,,,,,,,,
USA,Field Insecticide,ONAGER MITICIDE,Gowan Company,10163-277,Foliar,12.0,24.0,24.0,fl oz/acre,1,Hexythiazox,54.0,,14.5,,,,,,,,,,,,,,,,
USA,Field Insecticide,ONAGER OPTEK,Gowan Company,10163-337,Foliar,12.0,24.0,24.0,fl oz/acre,1,Hexythiazox,54.0,,10.2,,,,,,,,,,,,,,,,
USA,Field Insecticide,PRONEVA EC,"Innvictis Crop Care, LLC",89167-72-89391,Foliar,12.0,24.0,24.0,fl oz/acre,1,Hexythiazox,54.0,,2.9,,,,,,,,,,,,,,,,
USA,Storage Fungicide,STOROX 2.0,BioSafe Systems,70299-7,Storage Treatment - Piler,1.28,2.56,,fl oz/t,2,Hydrogen dioxide,,,6.1,Peroxyacetic acid,,,1.4,,,,,,,,,,,,
USA,Field Fungicide,OXIDATE 2.0,"BioSafe Systems, LLC",70299-12,Foliar,9.6,32.0,,fl oz/acre,2,Hydrogen dioxide,,,7.5,Peroxyacetic acid,,,11.1,,,,,,,,,,,,
USA,Storage Fungicide,SANIDATE 5.0,BioSafe Systems,70299-19,Storage Treatment - Ventilation,0.25,0.95,,fl oz/t,2,Hydrogen peroxide,41.33333333,,3.8,Peroxyacetic acid,,,12.3,,,,,,,,,,,,
CA,Storage Fungicide,STOROX,BioSafe Systems,27432,Storage Treatment - Ventilation,0.94,1.884,1.884,ml / 100 kg,1,Hydrogen peroxide,41.33333333,,6.2,,,,,,,,,,,,,,,,
CA,Field Fungicide,OXIDATE 2.0,"BioSafe Systems, LLC",32907,Foliar,37.36,93.406,,l / ha,2,Hydrogen peroxide,41.33333333,,4.8,Peroxyacetic acid,,,7.4,,,,,,,,,,5.0,,
USA,Field Fungicide,SANIDATE 12.0,"BioSafe Systems, LLC",70299-18,Chemigation,23.0,45.5,,gal / ac,2,Hydrogen peroxide,41.33333333,,12.5,Peroxyacetic acid,,,4.1,,,,,,,,,,,,
USA,Field Fungicide,SANIDATE 12.0,"BioSafe Systems, LLC",70299-18,Foliar,23.0,45.5,,gal / ac,2,Hydrogen peroxide,41.33333333,,9.7,Peroxyacetic acid,,,1.4,,,,,,,,,,,,
USA,Storage Fungicide,SANIDATE 12.0,"BioSafe Systems, LLC",70299-18,Storage Treatment - Ventilation,23.0,45.5,,gal / ac,2,Hydrogen peroxide,41.33333333,,2.7,Peroxyacetic acid,,,10.6,,,,,,,,,,,,
USA,Storage Fungicide,TSUNAMI 100,Ecolab,1677-164,Storage Treatment - Piler,0.085,0.085,,fl oz/t,2,Hydrogen peroxide,41.33333333,,3.7,Peroxyacetic acid,,,1.4,,,,,,,,,,,,
USA,Storage Fungicide,JET-AG,Jet Harvest Solutions,81803-6,Storage Treatment - Ventilation,0.256,0.256,,fl oz/t,2,Hydrogen peroxide,41.33333333,,6.3,Peroxyacetic acid,,,3.7,,,,,,,,,,,,
CA,Field Insecticide,ALIAS 240 SC,Adama Agricultural Solutions Canada Ltd.,28475,Foliar,26.0,39.0,1.165,ml / 100 kg,1,Imidacloprid,70.0,,11.1,,,,,,,,,,,,,,,,
CA,Field Insecticide,ALIAS 240 SC,Adama Agricultural Solutions Canada Ltd.,28475,Furrow,26.0,39.0,1.165,ml / 100 kg,1,Imidacloprid,70.0,,14.8,,,,,,,,,,,,,,,,
CA,Seed Treatment,ALIAS 240 SC,Adama Agricultural Solutions Canada Ltd.,28475,Seed Treatment - Liquid,26.0,39.0,1.165,ml / 100 kg,1,Imidacloprid,70.0,,13.5,,,,,,,,,,,,,,,,
USA,Field Insecticide,MACHO 2.0 FL,"Albaugh, LLC",42750-110,Foliar,0.4,0.8,20.0,fl oz/cwt,1,Imidacloprid,70.0,,2.9,,,,,,,,,,,,,,,,
USA,Field Insecticide,MACHO 2.0 FL,"Albaugh, LLC",42750-110,Furrow,0.4,0.8,20.0,fl oz/cwt,1,Imidacloprid,70.0,,11.3,,,,,,,,,,,,,,,,
USA,Seed Treatment,MACHO 2.0 FL,"Albaugh, LLC",42750-110,Seed Treatment - Liquid,0.4,0.8,20.0,fl oz/cwt,1,Imidacloprid,70.0,,12.6,,,,,,,,,,,,,,,,
USA,Field Insecticide,MACHO 4.0,"Albaugh, LLC",42750-140,Foliar,0.2,0.4,10.0,fl oz/cwt,1,Imidacloprid,70.0,,10.0,,,,,,,,,,,,,,,,
USA,Field Insecticide,MACHO 4.0,"Albaugh, LLC",42750-140,Furrow,0.2,0.4,10.0,fl oz/cwt,1,Imidacloprid,70.0,,13.0,,,,,,,,,,,,,,,,
USA,Seed Treatment,MACHO 4.0,"Albaugh, LLC",42750-140,Seed Treatment - Liquid,0.2,0.4,10.0,fl oz/cwt,1,Imidacloprid,70.0,,14.3,,,,,,,,,,,,,,,,
USA,Field Insecticide,ACRONYX 4F,"Atticus, LLC",66222-156,Foliar,4.0,8.0,10.0,fl oz/acre,1,Imidacloprid,70.0,,10.1,,,,,,,,,,,,,,,,
USA,Field Insecticide,ACRONYX 4F,"Atticus, LLC",66222-156,Furrow,4.0,8.0,10.0,fl oz/acre,1,Imidacloprid,70.0,,5.7,,,,,,,,,,,,,,,,
USA,Seed Treatment,ACRONYX 4F,"Atticus, LLC",66222-156,Seed Treatment - Liquid,4.0,8.0,10.0,fl oz/acre,1,Imidacloprid,70.0,,6.0,,,,,,,,,,,,,,,,
USA,Field Insecticide,ADMIRE 2 FLOWABLE,Bayer Crop Science LP,264-758,Foliar,13.0,20.0,20.0,fl oz/acre,1,Imidacloprid,70.0,,5.5,,,,,,,,,,,,,,,,
USA,Field Insecticide,ADMIRE PRO SYSTEMIC,Bayer Crop Science LP,264-827,Foliar,0.17,0.35,8.7,fl oz/cwt,1,Imidacloprid,70.0,,8.0,,,,,,,,,,,,,,,,
USA,Field Insecticide,ADMIRE PRO SYSTEMIC,Bayer Crop Science LP,264-827,Furrow,0.17,0.35,8.7,fl oz/cwt,1,Imidacloprid,70.0,,15.0,,,,,,,,,,,,,,,,
USA,Seed Treatment,ADMIRE PRO SYSTEMIC,Bayer Crop Science LP,264-827,Seed Treatment - Liquid,0.17,0.35,8.7,fl oz/cwt,1,Imidacloprid,70.0,,9.0,,,,,,,,,,,,,,,,
USA,Field Insecticide,PROVADO 1.6 FLOWABLE,Bayer Crop Science LP,264-763,Foliar,3.8,3.8,16.0,fl oz/acre,1,Imidacloprid,70.0,,12.3,,,,,,,,,,,,,,,,
CA,Field Insecticide,ADMIRE 240 Flowable Systemic Insecticide,Bayer CropScience Inc.,24094,Foliar,26.0,39.0,1.165,ml / 100 kg,1,Imidacloprid,70.0,,11.2,,,,,,,,,,,,,,,,
CA,Field Insecticide,ADMIRE 240 Flowable Systemic Insecticide,Bayer CropScience Inc.,24094,Furrow,26.0,39.0,1.165,ml / 100 kg,1,Imidacloprid,70.0,,3.6,,,,,,,,,,,,,,,,
CA,Seed Treatment,ADMIRE 240 Flowable Systemic Insecticide,Bayer CropScience Inc.,24094,Seed Treatment - Liquid,26.0,39.0,1.165,ml / 100 kg,1,Imidacloprid,70.0,,13.9,,,,,,,,,,,,,,,,
USA,Field Insecticide,COURAZE 2F INSECTICIDE,FMC CORPORATION,67760-91,Foliar,0.4,0.8,20.0,fl oz/cwt,1,Imidacloprid,70.0,,9.2,,,,,,,,,,,,,,,,
USA,Field Insecticide,COURAZE 2F INSECTICIDE,FMC CORPORATION,67760-91,Furrow,0.4,0.8,20.0,fl oz/cwt,1,Imidacloprid,70.0,,12.8,,,,,,,,,,,,,,,,
USA,Seed Treatment,COURAZE 2F INSECTICIDE,FMC CORPORATION,67760-91,Seed Treatment - Liquid,0.4,0.8,20.0,fl oz/cwt,1,Imidacloprid,70.0,,9.3,,,,,,,,,,,,,,,,
USA,Field Insecticide,AMTIDE IMIDACLOPRID 2F INSECTICIDE,"Helena Agri-Enterprises, LLC",83851-12,Foliar,8.0,16.0,20.0,fl oz/acre,1,Imidacloprid,70.0,,13.2,,,,,,,,,,,,,,,,
USA,Field Insecticide,AMTIDE IMIDACLOPRID 2F INSECTICIDE,"Helena Agri-Enterprises, LLC",83851-12,Furrow,8.0,16.0,20.0,fl oz/acre,1,Imidacloprid,70.0,,13.8,,,,,,,,,,,,,,,,
USA,Seed Treatment,AMTIDE IMIDACLOPRID 2F INSECTICIDE,"Helena Agri-Enterprises, LLC",83851-12,Seed Treatment - Liquid,8.0,16.0,20.0,fl oz/acre,1,Imidacloprid,70.0,,7.4,,,,,,,,,,,,,,,,
USA,Field Insecticide,OMNI IMIDACLOPRID 2F,Helena Chemical Company,38167-36-5905,Foliar,8.0,16.0,20.0,fl oz/acre,1,Imidacloprid,70.0,,14.3,,,,,,,,,,,,,,,,
USA,Field Insecticide,OMNI IMIDACLOPRID 2F,Helena Chemical Company,38167-36-5905,Furrow,8.0,16.0,20.0,fl oz/acre,1,Imidacloprid,70.0,,3.4,,,,,,,,,,,,,,,,
USA,Seed Treatment,OMNI IMIDACLOPRID 2F,Helena Chemical Company,38167-36-5905,Seed Treatment - Liquid,8.0,16.0,20.0,fl oz/acre,1,Imidacloprid,70.0,,2.6,,,,,,,,,,,,,,,,
USA,Field Insecticide,OMNI IMIDACLOPRID 4F,Helena Chemical Company,38167-41-5905,Foliar,4.0,8.0,10.0,fl oz/acre,1,Imidacloprid,70.0,,2.2,,,,,,,,,,,,,,,,
USA,Field Insecticide,OMNI IMIDACLOPRID 4F,Helena Chemical Company,38167-41-5905,Furrow,4.0,8.0,10.0,fl oz/acre,1,Imidacloprid,70.0,,13.2,,,,,,,,,,,,,,,,
USA,Seed Treatment,OMNI IMIDACLOPRID 4F,Helena Chemical Company,38167-41-5905,Seed Treatment - Liquid,4.0,8.0,10.0,fl oz/acre,1,Imidacloprid,70.0,,4.5,,,,,,,,,,,,,,,,
USA,Field Insecticide,PROVOKE INSECTICIDE,"Innvictis Crop Care, LLC",89168-23-89391,Foliar,0.2,0.4,10.0,fl oz/cwt,1,Imidacloprid,70.0,,6.1,,,,,,,,,,,,,,,,
USA,Field Insecticide,PROVOKE INSECTICIDE,"Innvictis Crop Care, LLC",89168-23-89391,Furrow,0.2,0.4,10.0,fl oz/cwt,1,Imidacloprid,70.0,,1.5,,,,,,,,,,,,,,,,
USA,Seed Treatment,PROVOKE INSECTICIDE,"Innvictis Crop Care, LLC",89168-23-89391,Seed Treatment - Liquid,0.2,0.4,10.0,fl oz/cwt,1,Imidacloprid,70.0,,7.4,,,,,,,,,,,,,,,,
USA,Field Insecticide,SHERPA,Loveland Products Inc.,34704-983,Foliar,3.8,3.8,16.0,fl oz/acre,1,Imidacloprid,70.0,,12.7,,,,,,,,,,,,,,,,
USA,Field Insecticide,WIDOW INSECTICIDE,Loveland Products Inc.,34704-893,Foliar,13.0,20.0,20.0,fl oz/acre,1,Imidacloprid,70.0,,5.3,,,,,,,,,,,,,,,,
USA,Field Insecticide,WRANGLER INSECTICIDE,Loveland Products Inc.,34704-931,Foliar,0.2,0.4,10.0,fl oz/cwt,1,Imidacloprid,70.0,,10.6,,,,,,,,,,,,,,,,
USA,Field Insecticide,WRANGLER INSECTICIDE,Loveland Products Inc.,34704-931,Furrow,0.2,0.4,10.0,fl oz/cwt,1,Imidacloprid,70.0,,7.2,,,,,,,,,,,,,,,,
USA,Seed Treatment,WRANGLER INSECTICIDE,Loveland Products Inc.,34704-931,Seed Treatment - Liquid,0.2,0.4,10.0,fl oz/cwt,1,Imidacloprid,70.0,,10.2,,,,,,,,,,,,,,,,
USA,Field Insecticide,ALIAS 4F,"Makhteshim-Agan of North America, Inc.",66222-156,Foliar,0.2,0.4,8.0,fl oz/cwt,1,Imidacloprid,70.0,,11.7,,,,,,,,,,,,,,,,
USA,Field Insecticide,ALIAS 4F,"Makhteshim-Agan of North America, Inc.",66222-156,Furrow,0.2,0.4,8.0,fl oz/cwt,1,Imidacloprid,70.0,,1.2,,,,,,,,,,,,,,,,
USA,Seed Treatment,ALIAS 4F,"Makhteshim-Agan of North America, Inc.",66222-156,Seed Treatment - Liquid,0.2,0.4,8.0,fl oz/cwt,1,Imidacloprid,70.0,,8.2,,,,,,,,,,,,,,,,
USA,Field Insecticide,NUPRID 2F INSECTICIDE,Nufarm Americas Inc.,228-484,Furrow,0.4,0.8,20.0,fl oz/cwt,1,Imidacloprid,70.0,,12.6,,,,,,,,,,,,,,,,
USA,Seed Treatment,NUPRID 2F INSECTICIDE,Nufarm Americas Inc.,228-484,Seed Treatment - Liquid,0.4,0.8,20.0,fl oz/cwt,1,Imidacloprid,70.0,,1.7,,,,,,,,,,,,,,,,
USA,Field Insecticide,NUPRID 2SC,Nufarm Americas Inc.,228-572,Foliar,0.4,0.8,20.0,fl oz/cwt,1,Imidacloprid,70.0,,12.3,,,,,,,,,,,,,,,,
USA,Field Insecticide,NUPRID 2SC,Nufarm Americas Inc.,228-572,Furrow,0.4,0.8,20.0,fl oz/cwt,1,Imidacloprid,70.0,,5.7,,,,,,,,,,,,,,,,
USA,Seed Treatment,NUPRID 2SC,Nufarm Americas Inc.,228-572,Seed Treatment - Liquid,0.4,0.8,20.0,fl oz/cwt,1,Imidacloprid,70.0,,13.6,,,,,,,,,,,,,,,,
USA,Field Insecticide,NUPRID 4.6F PRO INSECTICIDE,Nufarm Americas Inc.,228-527,Furrow,0.17,0.35,8.7,fl oz/cwt,1,Imidacloprid,70.0,,1.0,,,,,,,,,,,,,,,,
USA,Seed Treatment,NUPRID 4.6F PRO INSECTICIDE,Nufarm Americas Inc.,228-527,Seed Treatment - Liquid,0.17,0.35,8.7,fl oz/cwt,1,Imidacloprid,70.0,,7.3,,,,,,,,,,,,,,,,
USA,Field Insecticide,NUPRID 4F MAX INSECTICIDE,Nufarm Americas Inc.,228-528,Foliar,0.2,0.4,10.0,fl oz/cwt,1,Imidacloprid,70.0,,5.5,,,,,,,,,,,,,,,,
USA,Field Insecticide,NUPRID 4F MAX INSECTICIDE,Nufarm Americas Inc.,228-528,Furrow,0.2,0.4,10.0,fl oz/cwt,1,Imidacloprid,70.0,,4.3,,,,,,,,,,,,,,,,
USA,Seed Treatment,NUPRID 4F MAX INSECTICIDE,Nufarm Americas Inc.,228-528,Seed Treatment - Liquid,0.2,0.4,10.0,fl oz/cwt,1,Imidacloprid,70.0,,11.7,,,,,,,,,,,,,,,,
USA,Field Insecticide,MONTANA 2F INSECTICIDE,"Rotam North America, Inc.",83100-7-83979,Foliar,3.0,3.0,12.0,fl oz/acre,1,Imidacloprid,70.0,,3.5,,,,,,,,,,,,,,7.0,,
USA,Field Insecticide,MONTANA 2F INSECTICIDE,"Rotam North America, Inc.",83100-7-83979,Furrow,3.0,3.0,12.0,fl oz/acre,1,Imidacloprid,70.0,,1.9,,,,,,,,,,,,,,7.0,,
USA,Field Insecticide,MONTANA 4F INSECTICIDE,"Rotam North America, Inc.",83100-21-83979,Foliar,0.2,0.4,10.0,fl oz/cwt,1,Imidacloprid,70.0,,2.5,,,,,,,,,,,,,,,,
USA,Field Insecticide,MONTANA 4F INSECTICIDE,"Rotam North America, Inc.",83100-21-83979,Furrow,0.2,0.4,10.0,fl oz/cwt,1,Imidacloprid,70.0,,2.4,,,,,,,,,,,,,,,,
USA,Seed Treatment,MONTANA 4F INSECTICIDE,"Rotam North America, Inc.",83100-21-83979,Seed Treatment - Liquid,0.2,0.4,10.0,fl oz/cwt,1,Imidacloprid,70.0,,6.5,,,,,,,,,,,,,,,,
USA,Seed Treatment,STARTUP IMIDA,"UPL NA, Inc.",70506-327,Seed Treatment - Liquid,0.16,0.32,8.0,fl oz/cwt,1,Imidacloprid,70.0,,7.6,,,,,,,,,,,,,,,,
USA,Field Insecticide,VILOPRID FC 1.7,Vive Crop Pritection Inc.,89118-9,Furrow,15.1,23.3,23.3,fl oz/acre,1,Imidacloprid,70.0,,11.2,,,,,,,,,,,,,,,,
USA,Field Insecticide,VCP-034,Vive Crop Protection Inc.,89118-16,Foliar,4.0,8.0,10.0,fl oz/acre,1,Imidacloprid,70.0,,3.0,,,,,,,,,,,,,,,,
USA,Field Insecticide,VCP-034,Vive Crop Protection Inc.,89118-16,Furrow,4.0,8.0,10.0,fl oz/acre,1,Imidacloprid,70.0,,14.9,,,,,,,,,,,,,,,,
USA,Seed Treatment,VCP-034,Vive Crop Protection Inc.,89118-16,Seed Treatment - Liquid,4.0,8.0,10.0,fl oz/acre,1,Imidacloprid,70.0,,5.4,,,,,,,,,,,,,,,,
USA,Field Insecticide,VILOPRID 4,Vive Crop Protection Inc.,89118-16,Foliar,4.0,8.0,10.0,fl oz/acre,1,Imidacloprid,70.0,,6.2,,,,,,,,,,,,,,,,
USA,Field Insecticide,VILOPRID 4,Vive Crop Protection Inc.,89118-16,Furrow,4.0,8.0,10.0,fl oz/acre,1,Imidacloprid,70.0,,9.3,,,,,,,,,,,,,,,,
USA,Seed Treatment,VILOPRID 4,Vive Crop Protection Inc.,89118-16,Seed Treatment - Liquid,4.0,8.0,10.0,fl oz/acre,1,Imidacloprid,70.0,,3.2,,,,,,,,,,,,,,,,
USA,Field Insecticide,WILLOWOOD IMIDACLOPRID,Willowood USA,87290-26,Furrow,0.2,0.4,10.0,fl oz/cwt,1,Imidacloprid,70.0,,2.2,,,,,,,,,,,,,,,,
USA,Seed Treatment,WILLOWOOD IMIDACLOPRID,Willowood USA,87290-26,Seed Treatment - Liquid,0.2,0.4,10.0,fl oz/cwt,1,Imidacloprid,70.0,,7.0,,,,,,,,,,,,,,,,
USA,Field Insecticide,WILLOWOOD IMIDACLOPRID 4SC,Willowood USA,87290-26,Foliar,0.2,0.4,10.0,fl oz/cwt,1,Imidacloprid,70.0,,12.6,,,,,,,,,,,,,,,,
USA,Field Insecticide,WILLOWOOD IMIDACLOPRID 4SC,Willowood USA,87290-26,Furrow,0.2,0.4,10.0,fl oz/cwt,1,Imidacloprid,70.0,,14.5,,,,,,,,,,,,,,,,
USA,Seed Treatment,WILLOWOOD IMIDACLOPRID 4SC,Willowood USA,87290-26,Seed Treatment - Liquid,0.2,0.4,10.0,fl oz/cwt,1,Imidacloprid,70.0,,2.0,,,,,,,,,,,,,,,,
